condition,corpus_index,trace_id,problem_id,analysis_length_label,solution_token_count,sampled_token_count,sampled_fraction
prefix64_trace_balanced,0,hf-000000:qwen2p5_7b:unconstrained_sample_pool:candidate_00,hf-000000,long,298,26,0.087248322147651
prefix64_trace_balanced,1,hf-000000:qwen2p5_7b:unconstrained_sample_pool:candidate_01,hf-000000,other_correct,216,25,0.11574074074074074
prefix64_trace_balanced,2,hf-000000:qwen2p5_7b:unconstrained_sample_pool:candidate_02,hf-000000,short,189,26,0.13756613756613756
prefix64_trace_balanced,3,hf-000000:qwen2p5_7b:unconstrained_sample_pool:candidate_03,hf-000000,medium,209,26,0.12440191387559808
prefix64_trace_balanced,4,hf-000000:qwen2p5_7b:unconstrained_sample_pool:candidate_04,hf-000000,other_correct,213,25,0.11737089201877934
prefix64_trace_balanced,5,hf-000000:qwen2p5_7b:unconstrained_sample_pool:candidate_05,hf-000000,long,250,25,0.1
prefix64_trace_balanced,6,hf-000000:qwen2p5_7b:unconstrained_sample_pool:candidate_06,hf-000000,long,240,25,0.10416666666666667
prefix64_trace_balanced,7,hf-000000:qwen2p5_7b:unconstrained_sample_pool:candidate_07,hf-000000,short,166,26,0.1566265060240964
prefix64_trace_balanced,8,hf-000000:qwen2p5_7b:unconstrained_sample_pool:candidate_08,hf-000000,other_correct,212,25,0.1179245283018868
prefix64_trace_balanced,9,hf-000000:qwen2p5_7b:unconstrained_sample_pool:candidate_09,hf-000000,other_correct,192,26,0.13541666666666666
prefix64_trace_balanced,10,hf-000000:qwen2p5_7b:unconstrained_sample_pool:candidate_10,hf-000000,other_correct,214,25,0.11682242990654206
prefix64_trace_balanced,11,hf-000000:qwen2p5_7b:unconstrained_sample_pool:candidate_11,hf-000000,other_correct,201,25,0.12437810945273632
prefix64_trace_balanced,12,hf-000000:qwen2p5_7b:unconstrained_sample_pool:candidate_12,hf-000000,other_correct,191,25,0.13089005235602094
prefix64_trace_balanced,13,hf-000000:qwen2p5_7b:unconstrained_sample_pool:candidate_13,hf-000000,short,185,25,0.13513513513513514
prefix64_trace_balanced,14,hf-000000:qwen2p5_7b:unconstrained_sample_pool:candidate_14,hf-000000,short,170,25,0.14705882352941177
prefix64_trace_balanced,15,hf-000000:qwen2p5_7b:unconstrained_sample_pool:candidate_15,hf-000000,long,226,25,0.11061946902654868
prefix64_trace_balanced,32,hf-000002:qwen2p5_7b:unconstrained_sample_pool:candidate_00,hf-000002,short,262,26,0.09923664122137404
prefix64_trace_balanced,33,hf-000002:qwen2p5_7b:unconstrained_sample_pool:candidate_01,hf-000002,short,278,26,0.09352517985611511
prefix64_trace_balanced,34,hf-000002:qwen2p5_7b:unconstrained_sample_pool:candidate_02,hf-000002,other_correct,284,26,0.09154929577464789
prefix64_trace_balanced,35,hf-000002:qwen2p5_7b:unconstrained_sample_pool:candidate_03,hf-000002,long,314,25,0.07961783439490445
prefix64_trace_balanced,36,hf-000002:qwen2p5_7b:unconstrained_sample_pool:candidate_04,hf-000002,other_correct,299,25,0.08361204013377926
prefix64_trace_balanced,37,hf-000002:qwen2p5_7b:unconstrained_sample_pool:candidate_05,hf-000002,medium,286,25,0.08741258741258741
prefix64_trace_balanced,38,hf-000002:qwen2p5_7b:unconstrained_sample_pool:candidate_06,hf-000002,long,313,25,0.07987220447284345
prefix64_trace_balanced,39,hf-000002:qwen2p5_7b:unconstrained_sample_pool:candidate_07,hf-000002,other_correct,280,25,0.08928571428571429
prefix64_trace_balanced,40,hf-000002:qwen2p5_7b:unconstrained_sample_pool:candidate_08,hf-000002,other_correct,280,25,0.08928571428571429
prefix64_trace_balanced,41,hf-000002:qwen2p5_7b:unconstrained_sample_pool:candidate_09,hf-000002,long,346,25,0.07225433526011561
prefix64_trace_balanced,42,hf-000002:qwen2p5_7b:unconstrained_sample_pool:candidate_10,hf-000002,other_correct,298,26,0.087248322147651
prefix64_trace_balanced,43,hf-000002:qwen2p5_7b:unconstrained_sample_pool:candidate_11,hf-000002,other_correct,308,26,0.08441558441558442
prefix64_trace_balanced,44,hf-000002:qwen2p5_7b:unconstrained_sample_pool:candidate_12,hf-000002,other_correct,301,26,0.08637873754152824
prefix64_trace_balanced,45,hf-000002:qwen2p5_7b:unconstrained_sample_pool:candidate_13,hf-000002,long,313,25,0.07987220447284345
prefix64_trace_balanced,46,hf-000002:qwen2p5_7b:unconstrained_sample_pool:candidate_14,hf-000002,short,277,25,0.09025270758122744
prefix64_trace_balanced,47,hf-000002:qwen2p5_7b:unconstrained_sample_pool:candidate_15,hf-000002,short,274,26,0.0948905109489051
prefix64_trace_balanced,48,hf-000003:qwen2p5_7b:unconstrained_sample_pool:candidate_00,hf-000003,short,195,25,0.1282051282051282
prefix64_trace_balanced,49,hf-000003:qwen2p5_7b:unconstrained_sample_pool:candidate_01,hf-000003,other_correct,245,25,0.10204081632653061
prefix64_trace_balanced,50,hf-000003:qwen2p5_7b:unconstrained_sample_pool:candidate_02,hf-000003,long,272,26,0.09558823529411764
prefix64_trace_balanced,51,hf-000003:qwen2p5_7b:unconstrained_sample_pool:candidate_03,hf-000003,other_correct,244,25,0.10245901639344263
prefix64_trace_balanced,52,hf-000003:qwen2p5_7b:unconstrained_sample_pool:candidate_04,hf-000003,short,195,25,0.1282051282051282
prefix64_trace_balanced,53,hf-000003:qwen2p5_7b:unconstrained_sample_pool:candidate_05,hf-000003,other_correct,203,25,0.12315270935960591
prefix64_trace_balanced,54,hf-000003:qwen2p5_7b:unconstrained_sample_pool:candidate_06,hf-000003,other_correct,255,26,0.10196078431372549
prefix64_trace_balanced,55,hf-000003:qwen2p5_7b:unconstrained_sample_pool:candidate_07,hf-000003,other_correct,203,25,0.12315270935960591
prefix64_trace_balanced,56,hf-000003:qwen2p5_7b:unconstrained_sample_pool:candidate_08,hf-000003,short,199,25,0.12562814070351758
prefix64_trace_balanced,57,hf-000003:qwen2p5_7b:unconstrained_sample_pool:candidate_09,hf-000003,medium,242,26,0.10743801652892562
prefix64_trace_balanced,58,hf-000003:qwen2p5_7b:unconstrained_sample_pool:candidate_10,hf-000003,long,267,25,0.09363295880149813
prefix64_trace_balanced,59,hf-000003:qwen2p5_7b:unconstrained_sample_pool:candidate_11,hf-000003,short,178,26,0.14606741573033707
prefix64_trace_balanced,60,hf-000003:qwen2p5_7b:unconstrained_sample_pool:candidate_12,hf-000003,long,282,26,0.09219858156028368
prefix64_trace_balanced,61,hf-000003:qwen2p5_7b:unconstrained_sample_pool:candidate_13,hf-000003,other_correct,244,26,0.10655737704918032
prefix64_trace_balanced,62,hf-000003:qwen2p5_7b:unconstrained_sample_pool:candidate_14,hf-000003,other_correct,205,26,0.12682926829268293
prefix64_trace_balanced,63,hf-000003:qwen2p5_7b:unconstrained_sample_pool:candidate_15,hf-000003,long,274,26,0.0948905109489051
prefix64_trace_balanced,80,hf-000014:qwen2p5_7b:unconstrained_sample_pool:candidate_00,hf-000014,short,215,26,0.12093023255813953
prefix64_trace_balanced,81,hf-000014:qwen2p5_7b:unconstrained_sample_pool:candidate_01,hf-000014,short,258,26,0.10077519379844961
prefix64_trace_balanced,82,hf-000014:qwen2p5_7b:unconstrained_sample_pool:candidate_02,hf-000014,short,271,25,0.09225092250922509
prefix64_trace_balanced,83,hf-000014:qwen2p5_7b:unconstrained_sample_pool:candidate_03,hf-000014,other_correct,341,25,0.07331378299120235
prefix64_trace_balanced,84,hf-000014:qwen2p5_7b:unconstrained_sample_pool:candidate_04,hf-000014,other_correct,332,25,0.07530120481927711
prefix64_trace_balanced,85,hf-000014:qwen2p5_7b:unconstrained_sample_pool:candidate_05,hf-000014,other_correct,341,25,0.07331378299120235
prefix64_trace_balanced,86,hf-000014:qwen2p5_7b:unconstrained_sample_pool:candidate_06,hf-000014,long,357,25,0.0700280112044818
